,Availability,Year,Floor,LoyerNet,Charges,Space,Street,Zip,City,Latitude,Longitude,chambre,séjour,cuisine,wc,hall,outdoors,cave,réduit,Entrée,stores,Description
0,avril 2020										</span>,-1,4,1100,140,39,Avenue de Montoie 2,1007,Lausanne,46.520494,6.612747,0,0,1,2,1,0,1,0,0,0,"<p>Petit immeuble, proche des commerces et du TSOL.<br>Appartement comprenant: hall d'entrée, une pièce principale, cuisine entièrement agencée avec lave-vaisselle, salle de bains/WC. Une cave.</p>"
1,maintenant										</span>,1951,1,1350,150,55,Chemin de Bonne-Espérance 24,1006,Lausanne,46.513425,6.64853,1,1,1,0,1,1,1,0,0,0,"<p>Quartier des Faverges, 2 minutes à pied du bus no.12 pour le centre-ville. Commerces dans le quartier. Situation plaisante et calme.<br>Comprenant : hall, séjour, une chambre, cuisine, balcon et cave.</p>"
2,avril 2020										</span>,1905,2,2740,290,104,,,-1,46.518628,6.627108,3,1,1,2,1,0,1,0,0,0,"<p>Bénéficiant d'une situation idéale proche de toutes les commodités, gare, poste, banque et commerces, ce logement saura vous séduire non seulement par ses espaces généraux, mais aussi pour ses qualités suivantes :<br><br>- Grand hall avec armoire murale ,<br>- hauts plafonds avec moulures,<br>- salon avec cheminée et véranda,<br>- salle-à-manger fermée pouvant servir de 3ème chambre,<br>- cuisine entièrement agencée et habitable,<br>- deux chambres à coucher avec armoire murale,<br>- Salle de bains avec raccordement pour machine à laver,<br>- wc séparé,<br>- une cave complète ce bien.<br><br>Disponible dès le 1er avril 2020. <br><br>Une visitre groupée est prévue le vendredi 28 février 2002 de 16h30 à 17h30. Merci de vous rendre directement sur place et vous adresser à Madame Delaloye/moeller au 2ème. <br><br><br>N'hésitez pas à nous contacter en cas de questions complémentaires, nous nous réjouissons de votre prise de contact !<br><br>Documents nécessaires pour déposer une inscription auprès de notre agence :<br><br>- formulaire d'inscription dûment rempli (disponible sur notre site internet http://www.realestate.apleona.ch/fr/offre-location/formulaire-dinscription/)<br>- attestation de l'Office des Poursuites récente (max. 3 mois)<br>- dernières fiches de salaire<br>- copie de pièce d'identité ou du permis de séjour (B ou C)</p>"
3,maintenant										</span>,1906,3,2000,270,72,,,-1,46.525512,6.651718,2,2,1,2,1,1,1,0,0,0,"<p>Laissez-vous séduire par ce lumineux et spacieux logement qui dispose de belles pièces à vivre avec parquet.<br><br>Appartement avec du cachet dans un immeuble de caractère au coeur du quartier de Chailly. <br><br>Il se compose comme suit : <br><br>- 1 hall d'entrée avec armoires murales<br>- 1 cuisine agencée<br>- 2 chambres à coucher<br>- 1 séjour<br>- 1 salle-de-bains/wc<br>- 1 balcon<br>- 1 cave <br><br>Immeuble sécurisé avec interphones et buanderie commune. <br><br>Date de relocation : De suite ou à convenir<br>Pour les visites, veuillez contacter M. Rahmatollahi<br><br>Votre dossier d'inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l’éventuel garant : <br><br>- Demande d'inscription dûment remplie, datée et signée (à télécharger sur notre site internet)<br>- Copie de vos 3 dernières fiches de salaire<br>- Attestation originale de l’Office des poursuites, datant de moins de 3 mois<br>- Copie de votre pièce d'identité (si nationalité suisse) ou permis de séjour<br><br>Les dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax ni de mail)<br><br>Seuls les dossiers complets et transmis correctement seront pris en considération.</p>"
4,maintenant										</span>,-1,5,1350,120,47,Chemin de Rionza 17,1020,Renens,46.524873,6.599111,1,1,1,2,0,1,1,0,0,0,"<p>Immeuble avec ascenseur situé dans un quartier dynamique avec toutes les commodités à proximité immédiate, métro, bus et magasins. Accès autoroutier facile.<br>Comprenant : entrée, séjour, 1 chambre, cuisine agencée, salle de bains-WC, balcon et cave. Place de parc extérieure N°17 ä CHF 90.00.</p>"
5,maintenant										</span>,1972,-1,1000,-1,30,Chemin Isabelle-de-Montolieu 193,1010,Lausanne,46.544195,6.643754,0,1,2,2,2,2,1,0,0,0,"<p>- Quartier de Vennes<br>- À proximité des axes routiers<br>- À proximité d'un arrêt de bus<br>- Quartier familial<br>- Au rez-de-chaussée<br>- Hall d'entrée avec rangements<br>- Equipé<br>- Cuisine équipée<br>- Buanderie commune<br>- Bien fraîchement rénové<br>- Bon état<br>- Balcon<br><br>Situé dans un quartier convivial, proche de toutes commodités, des transports publics et des axes autoroutiers, cet appartement de 1.5 pièces au rez-de-chaussée comprenant :<br><br>- Hall d'entrée avec armoires<br>- Cuisine équipée<br>- Séjour avec balcon<br>- Salle de bains/WC<br><br>Annexe :<br>- cave n° 21<br><br>Loyer mensuel : CHF 1'000.-<br>Acompte de charges : CHF 90.-/mois<br>Arrêt de bus devant l'immeuble</p>"
6,maintenant										</span>,-1,9,900,70,21,,,-1,46.540337,6.58092,0,0,1,2,0,0,0,0,0,0,"<p>Immeuble avec ascenseur situé dans un quartier dynamique. A 10 minutes à pied de la gare CFF de Renens. Magasins, bus et restaurants à la porte.<br>Comprenant: une pièce, cuisine agencée, salle de bains/WC.</p>"
7,avril 2020										</span>,-1,-1,960,100,35,,,-1,46.531857,6.611726,0,0,0,0,0,0,0,0,0,0,<p>Charges à définir</p>
8,maintenant										</span>,-1,2,-1,155,55,Rue Couchirard 16,1004,Lausanne,46.5270827,6.6132846,0,0,0,0,0,0,0,0,0,0,<p></p>
9,maintenant										</span>,-1,0,1200,170,29,Chemin de Boissonnet 96,1010,Lausanne,46.5407502,6.6413013,0,0,1,2,1,0,0,0,0,0,"<p>Hall d'entrée avec armoires murales, pièce principale, cuisine agencée et salle de douche/WC. Places de parc extérieures disponibles en sus à CHF 100.-/mois.</p>"
10,maintenant										</span>,-1,0,1100,130,20,Chemin de Boissonnet 96,1010,Lausanne,46.5407502,6.6413013,1,0,1,2,1,0,1,0,0,0,"<p>Studio meublé, n° 2, au rez-inférieur (niveau 1) comprenant :<br><br>un hall, 1 chambre, cuisine agencée avec hotte, four, frigo, salle de douche/WC, cave.<br><br>Places de parc extérieures disponibles en sus à Frs 100.-/mois.</p>"
11,maintenant										</span>,-1,0,1100,130,20,Chemin de Boissonnet 96,1010,Lausanne,46.54075,6.641301,0,0,1,2,1,0,0,0,0,0,"<p>Studio meublé n°7 au rez-supérieur (niveau 2), comprenant : <br><br>-un hall d'entrée avec armoire murale<br>- une pièce principale avec une cuisine agencée ouverte <br>- une salle de douche/WC.<br><br>Places de parc extérieures disponibles en sus à Frs 100.-/mois.</p>"
12,maintenant										</span>,-1,-1,1340,155,60,,,-1,46.531857,6.611726,0,0,0,0,0,0,0,0,0,0,"<p>Pour les visites, veuillez contacter M. Lenoir</p>"
13,maintenant										</span>,-1,4,-1,210,80,Chemin de la Colline 6,1007,Lausanne,46.521563,6.612662,1,2,1,2,0,0,0,1,0,0,"<p>Appartement de 3.5 pièces à 5 min. du métro <br>COLOCATION ACCEPTEE<br>VISITE GROUPEE LE LUNDI 29 JANVIER 2018 DE 17H A 18H<br>Superbe appartement situé dans un immeuble convivial et dans un quartier calme.<br><br>Le logement comprend : Séjour lumineux, cuisine agencée ouverte sur le séjour, 2 spacieuses chambres à coucher, salle de bains, WC séparé, réduit d'env. 7 m2 avec armoires murales.<br><br>Vos avantages : Situé à seulement 300 m. de l'arrêt ""Montelly"", à 10 minutes du centre ville, et des commerces de proximité.</p>"
14,maintenant										</span>,-1,0,1100,130,21,Chemin de Boissonnet 96,1010,Lausanne,46.54075,6.641301,0,0,1,2,1,0,0,0,0,0,"<p>Studio meublé, n° 4, au rez-inférieur (niveau 1), comprenant : <br><br>-un hall d'entrée avec armoire murale<br>- une pièce principale avec cuisine agencée ouverte<br>- une salle de douche/WC<br><br>Places de parc extérieures disponibles en sus à Frs 100.-/mois.</p>"
15,maintenant										</span>,-1,1,2500,175,107,Avenue de la Vallonnette 7,1012,Lausanne,46.527842,6.649943,0,0,0,0,0,0,0,0,0,0,<p>Superbe appartement à louer de 107m2<br><br></p>
16,mars 2020										</span>,-1,0,1450,190,58,Route de Berne 39,1010,Lausanne,46.5355278,6.6465096,2,1,1,2,1,1,0,0,0,0,"<p>Immeuble situé proche de toutes commodités.<br>Comprenant: hall d'entrée, séjour, 2 chambres à coucher, cuisine avec frigo, salle de bains/WC, balcon. Garage N°1 à CHF 140.-/mois.</p>"
17,juillet 2020										</span>,-1,5,2700,200,116,Avenue de France 1,1004,Lausanne,46.523915,6.624372,0,0,1,4,0,1,0,0,0,0,"<p>Immeuble ancien avec cachet (hauts plafonds et parquet). Il est à deux pas des transports publics (arrêt de bus Chauderon), à proximité du LEB (200 m), d'un centre commercial (300 m), du quartier divertissant du Flon (400 m) et à envion 700 m de diverses écoles (ERACOM/ EPSIC/ ETML).<br> Comprenant: <br> <br> Cuisine ouverte avec îlot, agencée et équipée<br> Pièce à vivre<br> Mezzanine<br> Salle de bains baignoire/wc<br> Salle de douches/lavabo-wc<br> Lave-linge<br> Terrasse avec échappée sur le lac</p>"
18,octobre 2020										</span>,-1,1,1700,295,71,,,-1,46.533871,6.647604,0,0,0,0,0,0,0,0,0,0,"<p>Joli appartement à proximité du centre-ville <br><br>Pour les visites, veuillez contacter nos bureaux</p>"
19,avril 2020										</span>,-1,1,1600,250,66,,,-1,46.517385,6.644938,2,2,1,1,1,1,1,0,0,0,"<p>Dans un quartier verdoyant et à proximité de Mon-Repos, cet appartement de 3 pièces au 1er étage se compose comme suit : <br> <br>- Grand hall avec armoire murale<br>- Cuisine agencée avec cuisinière vitrocéram, frigo, lave-vaisselle<br>- Séjour<br>- 2 chambres à coucher dont 1 avec armoires murales<br>- WC séparé, <br>- Salle-de-bain avec baignoire<br>- Balcon<br>- Cave<br><br>Proche de toutes commodités. Un arrêt de bus se trouve à 1 minute à pied. <br><br>Immeuble avec digicode, ascenseur et buanderie commune. <br><br>Disponible dès le 1er avril 2020<br><br>Votre dossier d'inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l'éventuel garant :<br><br>- Demande d'inscription dûment remplie, datée et signée (à télécharger sur notre site internet)<br>- Copie de vos 3 dernières fiches de salaire<br>- Attestation originale de l'Office des poursuites, datant de moins de 3 mois<br>- Copie de votre pièce d'identité (si nationalité suisse) ou permis de séjour<br><br>Les dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax, ni de mail)</p>"
20,juillet 2020										</span>,-1,3,1600,100,63,,,-1,46.533658,6.647386,1,1,1,2,1,1,1,0,0,0,"<p>Grand appartement de 2.5 pièces d'environ 63m2 au 3ème étage, comprenant;<br><br>- Un hall avec armoires, <br>- Une cuisine agencée avec lave-vaisselle, <br>- Un grand séjour, <br>- Une grande chambre à coucher, <br>- Une salle-de-bains/WC<br>- Un balcon, <br>- Une cave,<br><br>Cet immeuble est idéalement situé à 2 pas du métro M2 et des commerces.</p>"
21,maintenant										</span>,-1,2,1660,205,65,Avenue des Bergières 55,1004,Lausanne,46.530699,6.618157,0,0,0,0,0,0,0,0,0,0,"<p>Proximité : A seulement 200m. des commerces, bureau de poste, transports-publics.<br><br></p>"
22,No info,-1,1,1950,270,-1,,,-1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,<p></p>
23,mars 2020										</span>,-1,5,1010,-1,30,Place du Tunnel 5,1005,Lausanne,46.525287,6.63513,0,0,0,0,0,0,0,0,0,0,<p></p>
24,No info,1972,-1,8900,-1,423,Chemin de Praz-Buchilly 103,1000,Lausanne,46.5591575,6.6728641,9,0,3,2,2,4,2,0,0,0,"<p>Le caractère d'exception alloué à ce bien subjuguera ses futurs et privilégiés locataires ! _ <br><br>En effet, outre une situation idyllique en bordure de Golf , cette résidence haute gamme ne propose que 4 logements . <br>Les occupants jouissent d'un calme absolu et d'une agréable privacité tout en bénéficiant d'un service de conciergerie qui leur est réservé facilitant leur quotidien . <br>L'appartement dispose d' une rarissime superficie habitable de 423 m2 supplée d'une terrasse de 76 m2 comprenant un jardin d'hiver et dégageant une belle vue Ouest sur le golf . <br> Il occupe les 2 derniers étages de l'immeuble relié par un élégant escalier central . <br><br>Les volumes de l'appartement octroient de généreuses surfaces aux pièces de réception ,et attribuent une salle de bains à chacune des 5 chambres . <br>De nombreux placards et dressings sont consacrés au rangement . <br><br>Le premier étage propose : <br><br>- Une entrée avec vestiaire et toilettes visiteurs s'ouvrant sur un fastueux hall qui dessert : <br>- Un salon tv <br>- Un somptueux salon de réception avec cheminée donnant sur la terrasse <br>- Une salle à manger communicante avec le salon et un charmant jardin d'hiver <br>- Un bureau <br>- Une spacieuse cuisine principale à laquelle est annexée un seconde cuisine de travail . <br>- Un petit hall de distribution reliant chaque pièces <br><br> Il est à noter qu'une entrée de service permet d'accéder à une chambre réservée pour le personnel avec une salle de bains et communiquant avec les cuisines .<br><br>Le second étage dispose de : <br>- 2 masters avec en suite salles de bains et dressings <br>- 3 chambres avec salles de bains privatives <br> <br><br>Enfin 2 places de parc en sus à Frs 400.- les deux et 2 caves en sous sol sont adjointes à l'habitation .</p>"
25,maintenant										</span>,1893,4,2600,200,96,Rue Saint-François 2,1003,Lausanne,46.520724,6.633542,1,2,1,1,1,0,0,0,0,0,"<p>Nous vous offrons un abonnement d'une année dans l'un des parking souterrain aux alentours de l'immeuble. <br><br>Magnifique appartement en duplex dans un immeuble classé avec ascenseur au coeur de Lausanne comprenant : <br><br>Au rez: <br>- Cuisine agencée ouverte sur séjour<br>- Séjour <br>- Hall avec armoire murale<br>- Chambre avec armoires murales<br>- Salle de douche<br>- Colonne de lavage<br><br>A l'étage:<br>- Pièce ouverte avec salle de bain attenante<br><br>En sortant de l'immeuble, vous trouverez tout ce dont vous aurez besoin, des restaurants, des commerces, une librairie, une boulangerie et bien plus encore! <br><br>Une visite s'impose !</p>"
26,mars 2020										</span>,-1,2,1100,170,29,Chemin de Boissonnet 96,1010,Lausanne,46.54075,6.641301,1,0,1,2,1,0,1,0,0,0,"<p>hall avec armoires murales, 1 chambre, cuisine agencée avec hotte, four, frigo, salle de douche/WC, cave. Places de parc extérieures disponibles en sus.</p>"
27,maintenant										</span>,-1,0,2050,300,82,Chemin du Levant 157,1005,Lausanne,46.5160132,6.6532248,2,0,0,1,0,2,0,0,0,0,<p>Balcon - Tranquillité - 2 chambres à coucher - WC séparé - lave-vaisselle - balcon</p>
28,No info,-1,4,1560,120,70,,,-1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,<p></p>
29,avril 2020										</span>,-1,0,850,90,23,,,-1,46.517184,6.611676,0,0,1,2,0,0,1,0,0,0,"<p>Logement situé proche des transports publics à 150 m (lignes de bus N° 1 - 25), des commerces à 350 m. Egalement à proximité des bords du lac, du Métro M1 et de l'autoroute à 800 m. Facilité d'accès pour l'EPFL.<br>Comprenant : <br> <br> Cuisine avec réfrigérateur et 2 plaques de cuisson vitrocéram<br> Pièce à vivre <br> Salle de bains baignoire/wc<br> Cave</p>"
30,avril 2020										</span>,-1,1,1380,125,41,Chemin de Longeraie 4,1006,Lausanne,46.515501,6.637433,0,0,1,0,1,0,0,0,0,0,"<p>Magnifique appartement de 1.5 pièce <br><br>Quartier sous-gare à quelques minutes de toutes les commodités <br><br>hall et pièce à vivre, cuisine, salle d'eau</p>"
31,mars 2020										</span>,1905,2,1650,165,62,Rue des Echelettes 6,1004,Lausanne,46.524609,6.62457,2,2,1,2,0,1,1,0,0,0,"<p>Implanté au 2ème étage d’un immeuble rénové, cet appartement de 3 pièces saura vous séduire par ses chaleureux aménagements intérieurs.<br><br>Exemple de distribution :<br>- 1 cuisine entièrement agencée habitable et fermée,<br>- 1 séjour avec cheminée et balcon, <br>- 2 chambres à coucher avec parquet,<br>- 1 salle-de-bains/WC/lavabo,<br>- une cave complète ce bien. <br>- immeuble sans ascenseur.<br><br>Conditions de location<br>- Début de location souhaitée : 16.03.2020<br>- Bail de durée déterminée au : 31.12.2025<br><br>Loyers: <br>- 06.03.2020: 1'225.-/net<br>- Dès le 01.03.2020: 1'650.-/net<br><br>Visites prévues lse mercredis 8 et 15 janvier 2020 entre 17h00 et 17h30. Merci de vous rendre directement sur place sans inscription au préalable et vous annoncer auprès de Madame Bidal au 2ème gauche. <br><br>Documents nécessaires pour déposer une inscription par courrier auprès de notre agence :<br>- formulaire d'inscription dûment rempli (disponible sur notre site internet http://www.realestate.apleona.ch/fileadmin/re-swiss/Mietangebote-Anmeldeformulare/Anmeldeformulare_interaktiv/217a_Mietinteressenten_Wohnung_Franz_LS.pdf/)<br>- attestation de l'Office des Poursuites récente (max. 3 mois)<br>- dernières fiches de salaire<br>- copie de pièce d'identité ou du permis de séjour (B ou C)<br><br>Photos et distribution non contractuelles.</p>"
32,maintenant										</span>,1967,6,1540,260,74,Chemin du Devin 31C,1012,Lausanne,46.529468,6.650188,2,1,1,2,1,1,0,0,0,0,"<p>Immeuble situé dans un quartier calme à proximité des commerces, du CHUV, des écoles, d'une garderie ainsi que des transports en commun.<br>Ce logement comprend : hall d'entrée, 2 chambres, séjour, cuisine agencée, salle de bains, WC-séparés, balcon type français.<br> <br> Pour les visites, contacter le concierge M. ALVES du lundi au vendredi de 13h00 à 18h00 (appt No 34)<br></p>"
33,No info,1969,3,750,70,21,,,-1,46.532971,6.601684,0,1,2,0,0,1,1,0,0,0,"<p>Joli petit appartement comprenant :<br><br>- une pièce principale<br>- un coin cuisine avec cuisinette (frigo + 2 plaques à réchaud)<br>- une salle de bain avec baignoire<br><br>Ce logement n'a pas de balcon, ni de cave.<br><br>Immeuble comprenant un ascenseur.<br><br>""BAUX DE DUREE DETERMINEE DE 5 ANS NON RENOUVELABLE. POSSIBILITE UNILATERALE POUR LE LOCATAIRE DE RESILIER PENDANT LA DUREE DU BAIL""<br><br>Votre dossier d’inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l’éventuel garant : <br><br>- Demande d’inscription dûment remplie, datée et signée (à télécharger sur notre site internet)<br>- Copie de vos 3 dernières fiches de salaire<br>- Attestation originale de l’Office des poursuites, datant de moins de 3 mois<br>- Copie de votre pièce d’identité (si nationalité suisse) ou permis de séjour<br><br>Les dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax ni de mail).</p>"
34,maintenant										</span>,1893,2,2900,190,89,Rue Saint-François 2,1003,Lausanne,46.520728,6.633592,2,1,1,0,0,0,1,0,0,0,"<p>Nous vous proposons en location, au plein centre de Lausanne, un grand 3 pièces composé de: <br><br>- Séjour<br>- Cuisine agencée avec lave-vaisselle, lave-linge et sèche-linge<br>- 2 Chambres à coucher dont une avec un mur en pierres apparentes<br>- Salle de bain avec double vasque <br>- Interphone<br>- Cave, ascenseur <br><br>Plus besoin de voiture, vous pourrez prendre le bus ou le métro dont les arrêts se trouvent à quelques mètres seulement de l'immeuble. De plus, la gare CFF est atteignable via le petit-chêne en 9 minutes à pied. <br><br>Avons-nous éveillez votre intérêt ? Nous restons à votre disposition pour toutes vos questions.</p>"
35,maintenant										</span>,2016,-1,1700,-1,51,Chemin du Chalet-de-Praroman 4B,1000,Lausanne,46.5631646,6.6992314,1,1,3,2,0,3,1,0,1,0,"<p>- Activités sportives à proximité<br>- À l'abri de toutes nuisances<br>- À proximité d'un arrêt de bus<br>- Au rez-de-jardin<br>- Cuisine agencée<br>- Cuisine équipée<br>- Buanderie commune<br>- Interphone<br>- État proche du neuf<br>- Pompe à chaleur<br>- Bail à durée indéterminée<br><br>« Résidence du Golf »<br><br>Respectueux de l’environnement grâce au label Minergie, La Résidence du Golf se trouve au coeur d’un écrin de verdure sur les hauts de la commune Lausanne, à proximité des écoles, commerces et transports. <br><br>Proche du centre sportif de Pra Roman, du Centre de Recherche Nestlé (CRN) et de l'Ecole Hôtelière de Lausanne (EHL), son emplacement unique permet l’accès à de multitudes d’activités sportives (golf, équitation, piste vitae, VTT) et de balades.<br><br>Cet appartement de 2.5 pièces situé au rez-de-chaussée est distribué de la manière suivante :<br><br>- Entrée avec armoires<br>- Séjour avec accès à la terrasse et au jardin<br>- Cuisine entièrement agencée et équipée<br>- Chambre à coucher<br>- Salle de bains/WC<br><br>Annexe :<br>- Cave<br>- Place de parc intérieure : CHF 150.-/mois<br><br>Loyer mensuel : CHF 1'700.-<br>Acompte de charges : CHF 70.-/mois<br><br></p>"
36,avril 2020										</span>,1996,5,1400,180,65,Avenue du Grey 64,1018,Lausanne,46.536884,6.620057,1,0,1,2,0,1,0,0,0,0,"<p>situé dans le quartier de la Blécherette, endroit calme et verdoyant, non loin d'un centre commercial et à proximité des lignes de transports publics, <br>cuisine agencée, salle de bains attenante à la chambre à coucher, WC séparé, terrasses.</p>"
37,mars 2020										</span>,1993,2,1510,160,71,,,-1,46.524693,6.602698,2,2,1,2,0,1,0,0,0,0,"<p>Appartement lumineux comprenant:<br><br>- Cuisine agencée avec lave-vaisselle<br>- Grand séjour<br>- 2 chambres avec parquets<br>- Salle-de-bains / WC<br>- Balcon<br><br>Place de parc intérieure disponible en sus.<br><br>L'unique visite groupée de ce bien est prévue le lundi 17 février 2020 de 17h00 à 18h00. (appartement Held)<br><br>Merci de vous rendre directement sur place pour la visite sans vous annoncer au préalable.<br><br>En cas d'intérêt pour l'objet, merci de nous transmettre les documents suivants:<br>- Demande de location (www.wincasa.ch)<br>- Copie de l'extrait de l'Office des poursuites (moins de 2 mois)<br>- Copie des 3 dernières fiches de salaire<br>- Copie de la carte d'identité ou du permis de séjour</p>"
38,avril 2020										</span>,1932,2,2650,220,90,Rue du Lac 12,1007,Lausanne,46.507678,6.62575,2,0,1,1,1,0,1,0,0,0,"<p>Superbe appartement lumineux orienté sud avec vue sur le lac comprenant : <br><br>- Cuisine agencée ouverte<br>- Hall d'entrée<br>- Spacieuse pièce à vivre salon et salle à manger<br>- Loggia<br>- 2 Chambres à coucher avec du parquet <br>- Salle de bain<br>- Salle de douche<br>- Cave<br>- Ascenseur <br><br>Ce logement idéalement situé saura vous séduire par sa proximité avec le M2, arrêt de bus, magasin Migros et divers restaurants.<br><br>Vous trouverez également une Migros, une Coop pronto, une boulangerie et divers restaurants à quelques minutes. <br><br>Possibilité de louer une place de parc extérieure à CHF 150.00/mois.<br><br>Une visite s'impose!</p>"
39,No info,1953,3,1880,330,75,Guiguer-de-Prangins 4,1004,Lausanne,46.534103,6.612434,1,1,1,2,1,1,0,0,0,0,"<p>Bel appartement dans quartier calme, idéal pour une famille ou une colocation, disposé comme suit :<br><br>- Cuisine agencée et habitable<br>- Hall d'entrée<br>- Séjour avec balcon<br>- 3 belles chambres<br>- salle-de-bains<br>- WC séparé<br><br>En cas d'intérêt, nous soumettre une demande de location que vous pouvez télécharger sur notre site, accompagnée des documents suivants :<br><br>- 3 dernières fiches salaire<br>- attestation de l'office des poursuites (validité 3 mois)<br>- 1 copie pièce d'identité</p>"
40,No info,-1,1,830,-1,-1,,,-1,46.5436863,6.60104,0,0,0,0,0,0,0,0,0,0,<p></p>
41,maintenant										</span>,-1,4,1460,170,65,Rue Couchirard 16,1004,Lausanne,46.5270827,6.6132846,1,1,1,1,1,0,0,0,0,0,"<p>Il se compose comme suit :<br><br>Hall d'entrée, séjour lumineux, cuisine agencée spacieuse, salle de bains, chambre à coucher avec armoire murale.<br><br>Proximité : Transports-publics : Gare ( 20 min à pied), métro, bus. Commerces<br>Parc de Valency, entrée d'autoroute</p>"
42,No info,1970,1,1430,200,55,Chemin du Furet 12,1018,Lausanne,46.540015,6.626372,1,2,1,2,1,0,1,0,0,0,"<p>Venez découvrir ce beau logement qui se compose comme suit : <br><br>- 1 hall d'entrée,<br>- 1 séjour lumineux,<br>- 1 chambre à coucher avec armoire murale,<br>- 1 cuisine habitable agencée et fermée,<br>- 1 salle-de-bains/WC/lavabo,<br>- 1 cave complète ce bien.<br><br>Afin de visiter le l'appartement, nous vous remercions de bien vouloir prendre contact avec le locataire actuel : M. Buess-Watson.<br><br>Possibilité de louer une place de parc intérieure/extérieure en sus.<br>Disponible à partir du 1er avril 2020!<br><br>BAIL FIXE DE DURÉE DÉTERMINÉE DE 5 ANS, AVEC POSSIBILITÉS DE RESILIATION UNILATÉRALE PAR LE LOCATAIRE.<br><br>Seuls les dossiers complets seront pris en considération, soit :<br>- formulaire d'inscription dûment rempli (disponible sur notre site internet)<br>- attestation de l'Office des Poursuites récente (max. 3 mois)<br>- dernières fiches de salaire<br>- copie de pièce d'identité ou du permis de séjour (B ou C)</p>"
43,mars 2020										</span>,1948,2,1940,265,79,Avenue Louis-Ruchonnet 19,1003,Lausanne,46.51851,6.625428,2,1,1,0,0,0,1,0,0,0,<p>Nous vous proposons un bel appartement situé à 500 mètres de la gare CFF et du M2. Il comprend: <br><br>- Cuisine moderne <br>- Séjour avec du parquet<br>- 2 Chambres à coucher avec du parquet <br>- Salle de bain<br>- Ascenseur<br>- Cave <br><br>Le métro M2 se trouve à 4 minutes à pied de l'immeuble. Vous pourrez vous rendre rapidement au bord du lac ou au centre-ville.<br><br>Nous nous réjouissons de votre prise de contact !</p>
44,avril 2020										</span>,1968,0,1280,205,60,,,-1,46.537901,6.574126,2,1,1,2,1,0,1,0,0,0,"<p>L'emplacement de ce logement est idéal et permet un accès rapide tant aux universités qu'au centre de Lausanne. Commerces, gare et transports publics sont atteignables à pieds.<br><br>Pour la qualité de votre logement :<br> - un hall d'entrée avec armoire murale<br> - un séjour<br> - deux chambres à coucher dont une avec armoires murales<br> - une cuisine partiellement agencée (frigo)<br> - une salle de bains/WC<br> - une cave<br><br>Places de parc extérieures disponibles en sus à CHF 70.-.<br><br>Intéressé ? La visite vaut le détour.<br><br>Sauf erreur et omission. Photos et descriptif non contractuels.</p>"
45,maintenant										</span>,-1,-1,2390,200,101,Avenue des Bergières 55,1004,Lausanne,46.5306653,6.6182287,2,1,1,1,0,0,0,0,0,0,"<p>Le logement se compose comme suit :<br><br>Grand séjour lumineux avec cuisine agencée, 2 chambres à coucher spacieuse, salle de bains.<br><br>Proximité : Transports-publics ( 7 min. à pied de l'arrêt du LEB ""Montétan"", bus), Parc de Valency, commerces.</p>"
46,maintenant										</span>,-1,2,-1,155,48,Rue de la Borde 71,1018,Lausanne,46.532721,6.629245,0,0,0,0,0,0,0,0,0,0,"<p>Proximité : Transports-publics ( à 5 min à pied des arrêts de bus), entrée d'autoroute</p>"
47,mars 2020										</span>,1965,4,960,-1,24,Place du Vallon 18,1005,Lausanne,46.527591,6.640322,0,0,1,2,1,0,0,0,0,0,"<p>Idéal pour étudiant ou personne seule, ce joli studio meublé dispose de nombreux avantages. Proche du fameux quartier de la cité et de sa magnifique cathédrale et à deux pas du centre-ville et des commerce, il saura sans doute répondre à vos attentes.<br><br>Pour la qualité de votre logement :<br> - un hall d'entrée<br> - une pièce principale meublée<br> - une cuisine agencée fermée<br> - une salle de douche/WC<br><br>Possibilité de louer des places de parc extérieures à CHF 150.00/mois en sus.<br><br>Intéressé ? La visite vaut le détour.<br><br>Sauf erreur et omission. Photos et descriptif non contractuels.</p>"
