,Availability,Year,Floor,LoyerNet,Charges,Space,Street,Zip,City,Latitude,Longitude,chambre,séjour,cuisine,wc,hall,outdoors,cave,réduit,Entrée,stores,Description
657,avril 2020										</span>,-1,1,860,110,43,Chemin du Levant 3 -5,1005,Lausanne,46.5213863,6.6470997,0,0,1,2,1,1,1,0,0,0,"<p><br> Cet immeuble équipé d'un ascenseur, est situé dans un quartier proche des écoles, de places de jeux, du centre-ville, de commerces et des transports publics au Chemin du Levant 3, à Lausanne.<br><br> Ce logement à louer dès le 1er avril 2020 est composé comme suit : <br> <br> - un hall d'entrée<br> - une pièce à vivre<br> - une cuisine <br> - une salle de bains/WC<br> - un balcon<br> - une cave<br> <br> Une visite groupée est prévue le mardi 25 février 2020 de 18h00 à 19h00.</p>"
658,mai 2020										</span>,1967,5,1100,190,46,Chemin du Devin 31 D,1012,Lausanne,46.5295223,6.6502,1,1,1,1,0,1,0,0,0,0,"<p>Immeuble situé dans un quartier calme à proximité des commerces, du CHUV, des écoles, d'une garderie ainsi que des transports en commun.<br>Ce logement comprend : une chambre, séjour, cuisine agencée, salle de bain/WC et balcon type français.<br> <br> Pour toutes demandes d'informations de contact, nous vous invitons à consulter notre site internet www.regieducroset.ch sous l'onglet « à louer ».</p>"
659,mars 2020										</span>,1986,2,1400,210,64,Avenue du Grey 78,1018,Lausanne,46.5376955,6.6181683,1,1,1,2,1,1,0,0,0,0,"<p>Proche de l'autoroute de la Blécherette, cet appartement est situé à proximité des commerces, des écoles, d'une garderie ainsi que des transports en commun et du stade de la Pontaise.<br>Ce logement comprend : hall d'entrée, une chambre, séjour, cuisine agencée, salle de bains-WC et balcon.<br> <br> Pour toutes demandes d'informations de contact, nous vous invitons à consulter notre site internet www.regieducroset.ch sous l'onglet « à louer ».</p>"
660,mai 2020										</span>,1986,9,1350,210,64,Avenue du Grey 78,1018,Lausanne,46.5376955,6.6181683,1,1,1,2,1,1,0,0,0,0,"<p>Proche de l'autoroute de la Blécherette, cet appartement est situé à proximité des commerces, des écoles, d'une garderie ainsi que des transports en commun et du stade de la Pontaise.<br>Ce logement comprend : hall d'entrée, une chambre, séjour, cuisine agencée, salle de bains/WC et balcon.<br> <br> Pour toutes demandes d'informations de contact, nous vous invitons à consulter notre site internet www.regieducroset.ch sous l'onglet « à louer ».</p>"
661,juin 2020										</span>,-1,8,740,110,26,Rue du Bugnon 53,1020,Renens,46.5392947,6.5959119,1,0,1,2,1,0,0,0,0,0,"<p>Situé dans un quartier familial, calme et verdoyant. Proche des transports publics et des axes autoroutiers, il est également entouré d'écoles, d'aires de jeux ainsi que de garderies.<br>Ce logement comprend : hall d'entrée, une chambre, cuisine agencée, salle de bains/WC.<br> <br> Pour toutes demandes d'informations de contact, nous vous invitons à consulter notre site internet www.regieducroset.ch sous l'onglet « à louer ».<br> <br> <br></p>"
662,avril 2020										</span>,-1,4,1900,115,68,Avenue de Tivoli 23,1007,Lausanne,46.5205891,6.6148944,1,1,1,4,0,1,1,0,0,0,"<p>Ce bel appartement de 3,5 pièces au centre de Lausanne est idéalement situé a proximité de toutes commodités, commerces et transports.<br><br>Ce dernier est composé de la manière suivante:<br><br>- Un large couloir de distribution<br>- Un séjour avec cuisine ouverte agencée<br>- Deux chambres à coucher<br>- Une salle de bains/WC<br>- Une salle de douche/WC<br>- Un balcon<br>- Une cave<br><br>Il se complète d'une place de parc intérieure en sus.</p>"
663,maintenant										</span>,-1,3,2400,150,104,Route du Bois 13,1024,Ecublens,46.5307059,6.5649221,2,1,1,5,0,1,1,0,0,0,"<p>Cet appartement d'environ 104 m2 est situé dans un quartier calme et verdoyant, proche de toutes commodités et des commerces. <br>Il est reparti de la manière suivante:<br>- Une entrée avec armoires<br>- Une cuisine entièrement agencée ouverte sur un grand séjour<br>- Un WC visiteurs<br>- Une chambre à coucher avec armoires et salle de bains/WC privative<br>- Une mezzanine avec coin ""bureau"", chambre à coucher et salle de douches/WC attenante<br>- Un grand balcon<br>- Une cave<br><br>Ce bien est complété d'une place de parc intérieure en sus.</p>"
664,mars 2020										</span>,-1,-1,-1,-1,-1,,,-1,-1.0,-1.0,4,0,2,4,1,2,0,1,0,0,"<p><br>Ecublens, chemin de l'Ormet, quartier résidentiel de villas<br><br>Très jolie maison individuelle moderne se décomposant comme suit :<br><br>Rez-de-chaussée : un hall d'entrée, un réduit, 1 salon-salle à manger avec un poële suédois, 1 cuisine entièrement équipée, un jardin d'hiver, une chambre à coucher, 1 salle de douche avec WC, <br><br>1er étage : 3 chambres à coucher, 1 salle de bain avec WC, <br><br>Sous-sol : une grande pièce aménageable, une buanderie équipée, un local technique<br><br>Cette maison comprend par une entrée séparée : Un studio agencé comme suit : une cuisine entièrement agencée avec une machine à laver et à sécher, une grande pièce, une salle de bain-douche avec WC<br><br>Un garage et un jardin<br><br>Le loyer se décompose comme suit : maison 4000.- et le studio 700.-  soit un total de 4700.-</p>"
665,No info,-1,4,2270,180,65,A quelques pas des quais,1006,Lausanne,46.5087324,6.6340879,0,0,0,0,0,0,0,0,0,0,"<p>Appartement de 2.5 pièces, meublé dans un quartier proche du lac, de toutes commodités et dans un cadre élégant côte à côte des plus belles institutions Lausannoises.<br><br>Vous pourrez vous balader au bord du lac jusqu'au parc du Denantou et à proximité du musée Olympique. Votre appartement a une vue imprenable et dégagée.</p>"
666,avril 2020										</span>,-1,-1,5600,-1,220,Chemin de Pré-Fleuri 5,1024,Ecublens,46.5150679,6.5587635,4,0,1,6,0,3,1,0,0,0,"<p>Dans une zone résidentielle, en face de la jolie commune de St-Sulpice, cette belle villa individuelle avec grand jardin privatif et bien arborisé avec une piscine saura vous séduire.<br>Elle se compose comme suit :<br><br>Au rez-de-chaussée:<br>Terrasse et four extérieur<br>Grande salon avec cheminée<br>Coin à manger ou bibliothèque<br>Salle à manger<br>Cuisine fermée entièrement agencée<br>WC visiteurs<br><br>Au 1er étage:<br>4 chambres à couches de très belle taille<br>2 salle de douches/WC<br><br>Au sous-sol:<br>Buanderie avec accès extérieur<br>Salle de douches/WC<br>Local technique<br>Garage<br>Nombreux rangements caves<br>Pièce aménagée (jeux ou coin TV)<br><br>Loyer net : CHF 5'600.- charges individuelles (mazout) <br><br>Annexes:<br>Entretien jardin environ CHF 400.- (en sus)<br>Entretien piscine environ CHF 200.- (en sus)</p>"
667,mars 2020										</span>,-1,6,1400,130,68,,,-1,46.5397114,6.6094522,2,1,1,2,1,1,1,0,0,0,"<p>Magnifique appartement de 3 pièces au 6ème étage, à saisir dès le 1er mars 2020.<br><br>Situé dans un quartier calme et verdoyant, proche d'une ligne de bus et du LEB, ce logement partiellement rénové comprend :<br>- un hall d'entrée<br>- un séjour<br>- deux chambres<br>- une cuisine agencée<br>- une salle de bains avec WC<br>- un grand balcon<br>- une cave<br><br>Remarques: photos non contractuelles<br><br>EN CAS D'INTÉRÊT: Merci de bien vouloir compléter, signer et retourner le formulaire de demande de location, accompagné des documents demandés. Ledit formulaire est téléchargeable sur l'annonce de notre site internet, www.cogestim.ch.</p>"
668,mai 2020										</span>,-1,3,1680,150,59,Chemin de Veilloud 27,1024,Ecublens,46.5302982,6.5645507,0,0,0,0,0,0,0,0,0,0,<p></p>
669,avril 2020										</span>,-1,0,1620,160,70,Avenue du Léman 68,1005,Lausanne,46.5140135,6.6515599,0,0,0,0,0,0,0,0,0,0,<p></p>
670,mars 2020										</span>,1970,5,1035,191,49,Avenue Parc-de-la-Rouvraie 6,1018,Lausanne,46.5313786,6.6332858,0,0,1,0,2,1,1,0,0,0,<p>Appartement spacieux situé dans les hauts de Lausanne. Il saura vous séduire par ses caractéristiques suivantes : <br><br>- Cuisine entièrement agencée fermée <br>- Hall d'entrée <br>- Pièce à vivre avec du parquet <br>- Armoires murales dans le hall<br>- Salle de bain <br>- Balcon <br>- Cave<br>- Ascenseur<br><br>Possibilité de louer un garage box à CHF 160.00 par mois. <br><br>Une visite s'impose!</p>
671,mars 2020										</span>,1971,7,1250,75,50,Avenue Parc-de-la-Rouvraie 26,1018,Lausanne,46.5284781,6.6347306,0,0,1,0,1,2,1,0,0,0,"<p>Nous vous proposons un grand studio comprenant: <br><br>- Pièce principale avec du parquet<br>- Hall d'entrée avec armoires murales <br>- Cuisine fermée <br>- Salle de bain<br>- Cagibi <br>- Balcon et grande terrasse<br>- Ascenseur<br>- Interphone, cave <br><br>Vous pourrez rejoindre le centre-ville de Lausanne facilement grâce au bus qui passe à 600 mètres de l'immeuble. <br><br>Une visite s'impose!</p>"
672,avril 2020										</span>,-1,1,1500,180,190,Avenue de Morges 44,1004,Lausanne,46.5258537,6.6178238,2,1,1,2,1,0,1,0,0,0,"<p>Excellente situation centrale. Bus à la porte, magasins et écoles à proximité immédiate. Immeuble avec ascenseur.<br>Comprenant : hall d'entrée, séjour, 2 chambres, cuisine, salle-de-bains, WC séparés et cave.</p>"
673,mars 2020										</span>,-1,3,1800,120,70,Avenue de Cour 105,1007,Lausanne,46.5159732,6.613657,2,1,1,1,1,1,0,0,0,0,"<p>MAGNIFIQUE OPPORTUNITÉ ! Bien rare sur le marché<br><br>Appartement à louer de suite ou à convenir, 3 pièces au 3e étage sis Avenue de Cour 105 à Lausanne (pas d'ascenseur).<br>Dans un quartier très prisé! Les commerces, les transports publics et toutes les commodités se trouvent au pied du bâtiment ou à 2min à pieds (pharmacie, Coop, Migros, banque, restaurants, kiosk, coiffeurs, fleuristes, épicerie, etc.). L'autoroute est accessible en 3min en voiture et le bord du lac en 7min à pieds. Les écoles et la verdure se situent à quelques pas. Vous atteindrez la gare en 15min à pieds et le centre ville en 15min de bus.<br><br>L'appartement sans vis-à-vis et dont TOUTES les fenêtres donnent sur le lac se compose comme suit : <br>Hall d'entrée (carrelage au sol) avec armoire encastrée. Une salle de bain (WC+baignoire). La cuisine fermée est entièrement agencée (frigo, cuisinière électrique, hotte et lave-vaisselle) et habitable. Une première chambre avec armoire encastrée et parquet au sol. Un salon jouissant d'un joli balcon, de parquet au sol et armoire encastrée. Une grande chambre (fenêtre côté lac) avec parquet au sol et armoire encastrée.<br><br>Loyer : CHF 1680.- + CHF 120.- de charges = CHF 1800.-/mois<br><br>VISITES GROUPEES LE LUNDI 24 FEVRIER DE 17H30 A 19H00. Pas besoin de vous annoncer au préalable.<br>Venez avec votre dossier complet : copies 3 fiches de salaire / attestation de l'OP / copie de pièce d'identité ou permis de séjour / copie assurance RC/ménage.<br><br>Formulaire à remplir sur place ou en ligne via notre site internet.<br></p>"
674,No info,1969,2,1555,155,72,,,-1,46.5325863,6.6019511,2,0,1,1,0,1,0,0,0,0,"<p>Joli appartement de 3.5 pièces au 2ème étage d'une surface totale de 72m2 comprenant :<br><br>- deux chambres à coucher<br>- un salon <br>- une cuisine semi-agencée (frigo)<br>- une salle de bain<br>- un WC séparé<br>- un balcon<br><br><br>Des travaux vont être effectués avant la relocation.<br><br><br>DATE DE RELOCATION = 1er avril 2020<br><br>En cas d'intérêt de votre part pour ce logement, APRES VISITE et UNIQUEMENT après visite, merci de nous transmettre les documents suivants, soit :<br><br>- Une demande de location remplie, datée et signée par toutes les personnes s'inscrivant sur le bail à loyer (locataire + garant si il y en a un) FORMULAIRE A TELECHARGER SUR www.epm-swiss.ch<br><br>- Extrait de l'Office des Poursuites (validité de 3 mois maximum)<br><br>- Copie des 3 dernières fiches de salaire<br><br>- Copie de la carte d'identité<br><br><br>MERCI DE FOURNIR CES DOCUMENTS A DOUBLE SI VOUS VOUS INSCRIVEZ EN COUPLE OU AVEC UN GARANT !<br><br>Les dossiers sont à envoyer par courrier ou à amener en main propre à notre guichet. Tous les dossiers envoyés par e-mail ne seront pas acceptés.</p>"
675,mars 2020										</span>,-1,0,1580,120,-1,Chemin des Clochetons 14,1004,Lausanne,46.5268619,6.617563,0,0,0,0,0,0,0,0,0,0,<p></p>
676,mai 2020										</span>,1992,1,1690,405,82,,,-1,46.535301,6.6624085,0,0,0,0,0,0,0,0,0,0,"<p><b>Vous recherchez un logement proche des commerces, des transports publics et des écoles</b> <br> Cet appartement est disposé comme suit <br></p>"
677,juin 2020										</span>,-1,0,900,100,35,Rue du Caudray 34,1020,Renens,46.5319283,6.5848722,0,0,1,1,0,0,1,1,0,0,"<p>Idéalement situé à Renens, Rue du Caudray 34, à seulement 50m des commerces (Migros, Lidl), à deux pas des arrêts de bus (lignes 32,33 et 25), à dix minutes de Lausanne, nous proposons un studio parfaitement entretenu, au rez-de-chaussée, composé de la manière suivante :<br><br>- Une lumineuse pièces à vivre;<br>- Coin cuisine équipé;<br>- Une salle de douche;<br>- Un réduit;<br>- Une cave.<br><br>Un parking se situe à côté du bâtiment, il est possible d'acquérir un macaron. <br><br>Cet appartement est disponible au 1er juin 2020.<br><br>Pour les visites merci de contacter Elsa Schmidt.</p>"
678,mai 2020										</span>,1971,3,1750,140,91,Avenue Parc-de-la-Rouvraie 26,1018,Lausanne,46.5284781,6.6347306,2,0,1,1,1,1,1,0,0,0,"<p>Ce grand logement saura vous séduire de part son emplacement, situé de manière stratégique dans les hauteurs de la ville et de part sa grandeur. Il comprend: <br><br>- Hall<br>- Salon avec du parquet <br>- 2 Chambres à coucher<br>- Cuisine agencée <br>- Salle de bain<br>- WC-séparés<br>- Deux cagibis<br>- Cave <br>- Balcon, ascenseur <br><br>Vous trouverez proche de l'immeuble, une Coop, un club de gym, des retaurants mais aussi un fleuriste. <br><br>Avons-nous éveillé votre intérêt? Nous restons à votre disposition pour toutes vos questions.</p>"
679,juillet 2020										</span>,-1,1,1300,135,57,Chemin de Vermont 20,1006,Lausanne,46.5115912,6.6409105,2,1,1,2,1,1,0,0,0,0,"<p>Appartement de 3 pièces au premier étage comprenant hall, séjour, cuisine, deux chambres à coucher, salle de bains/WC, balcon.</p>"
680,No info,-1,0,1600,60,44,Rue des Alpes 6C,1020,Renens,46.5381864,6.5858113,1,1,1,0,1,3,0,0,0,0,"<p>Splendide appartement de 2.5 pièces d'env. 44 m2 au rez-de-chaussée avec jardin privatif composé de la manière suivante:<br><br>- Hall avec armoire murale<br>- Cuisine entièrement agencée avec lave-vaisselle<br>- Séjour<br>- Une chambre à coucher avec armoires murales<br>- Terrasses/jardin<br><br>Situé au coeur de Renens, ce logement est proche de toutes les commodités, telles que bus, gare, écoles, restaurants et commerces.<br><br>Il est disponible de suite au prix de CHF 1'600.- + CHF 60.- de charges, soit un total de CHF 1'660.-.<br><br>Une place de parc extérieure couverte est disponible avec ce lot au prix de CHF 80.- en sus.<br><br>En cas d'intérêt et pour visiter cet objet, merci de bien vouloir prendre contact avec notre service location par téléphone ou par courriel à l'adresse.</p>"
681,mars 2020										</span>,-1,-1,1220,130,46,Chemin des Croix-Rouges 6,1007,Lausanne,46.5208721,6.621514,1,0,1,2,1,0,1,0,0,0,<p>Centre ville à 10 minutes à pieds de la gare de Lausanne.<br>Spacieux logement 1.5 pièces au rez-de-chaussée supérieur<br><br>VISITES : contacter le concierge M. Olarte<br><br>Comprenant :<br><br>- hall<br>- 1 chambre<br>- cuisine agencée<br>- salle de bains/WC<br>- 1 cave<br><br>Candidature à adresser à la Régie Duboux SA</p>
