,link,id,host,date,Availability,Year,Floor,LoyerNet,Charges,Space,Street,Zip,City,Latitude,Longitude,chambre,séjour,cuisine,wc,hall,outdoors,cave,réduit,Entrée,stores,Description,TotalRent,NearestStop,TimeToNearestStop
10,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-possibilite-louer-courte-duree-3-mois-minimum-146457
",146457,"Immobilier
","2020-02-23
",maintenant										</span>,-1,0,1100,130,20,Chemin de Boissonnet 96,1010.0,Lausanne,46.54075020000001,6.641301299999999,1,0,1,2,1,0,1,0,0,0,"<p>Studio meublé, n° 2, au rez-inférieur (niveau 1) comprenant :<br><br>un hall, 1 chambre, cuisine agencée avec hotte, four, frigo, salle de douche/WC, cave.<br><br>Places de parc extérieures disponibles en sus à Frs 100.-/mois.</p>",1230,Lausanne-Flon,31.81063363646552
11,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-quartier-calme-verdoyant-possibilite-louer-courte-duree-146460
",146460,"Immobilier
","2020-02-23
",maintenant										</span>,-1,0,1100,130,20,Chemin de Boissonnet 96,1010.0,Lausanne,46.54075,6.6413009999999995,0,0,1,2,1,0,0,0,0,0,"<p>Studio meublé n°7 au rez-supérieur (niveau 2), comprenant : <br><br>-un hall d'entrée avec armoire murale<br>- une pièce principale avec une cuisine agencée ouverte <br>- une salle de douche/WC.<br><br>Places de parc extérieures disponibles en sus à Frs 100.-/mois.</p>",1230,Lausanne-Flon,31.81025604654462
12,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-2-1-2-pieces-lausanne-148452
",148452,"Immobilier
","2020-02-23
",maintenant										</span>,-1,-1,1340,155,60,,,-1,46.531857,6.611725999999999,0,0,0,0,0,0,0,0,0,0,"<p>Pour les visites, veuillez contacter M. Lenoir</p>",1495,Vigie,11.976570449998826
13,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-4eme-etage-lausanne-152104
",152104,"Immobilier
","2020-02-23
",maintenant										</span>,-1,4,-1,210,80,Chemin de la Colline 6,1007.0,Lausanne,46.521563,6.612661999999999,1,2,1,2,0,0,0,1,0,0,"<p>Appartement de 3.5 pièces à 5 min. du métro <br>COLOCATION ACCEPTEE<br>VISITE GROUPEE LE LUNDI 29 JANVIER 2018 DE 17H A 18H<br>Superbe appartement situé dans un immeuble convivial et dans un quartier calme.<br><br>Le logement comprend : Séjour lumineux, cuisine agencée ouverte sur le séjour, 2 spacieuses chambres à coucher, salle de bains, WC séparé, réduit d'env. 7 m2 avec armoires murales.<br><br>Vos avantages : Situé à seulement 300 m. de l'arrêt ""Montelly"", à 10 minutes du centre ville, et des commerces de proximité.</p>",209,Vigie,6.423739438002887
14,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-quartier-calme-verdoyant-possibilite-louer-courte-duree-159219
",159219,"Immobilier
","2020-02-23
",maintenant										</span>,-1,0,1100,130,21,Chemin de Boissonnet 96,1010.0,Lausanne,46.54075,6.6413009999999995,0,0,1,2,1,0,0,0,0,0,"<p>Studio meublé, n° 4, au rez-inférieur (niveau 1), comprenant : <br><br>-un hall d'entrée avec armoire murale<br>- une pièce principale avec cuisine agencée ouverte<br>- une salle de douche/WC<br><br>Places de parc extérieures disponibles en sus à Frs 100.-/mois.</p>",1230,Lausanne-Flon,31.81025604654462
15,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-5-1-2-pieces-1er-etage-lausanne-160636
",160636,"Immobilier
","2020-02-23
",maintenant										</span>,-1,1,2500,175,107,Avenue de la Vallonnette 7,1012.0,Lausanne,46.527842,6.6499429999999995,0,0,0,0,0,0,0,0,0,0,<p>Superbe appartement à louer de 107m2<br><br></p>,2675,Lausanne-Flon,23.58455491026852
16,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/galland-cie-254/appartement-3-pieces-161265
",161265,"Immobilier
","2020-02-23
",mars 2020										</span>,-1,0,1450,190,58,Route de Berne 39,1010.0,Lausanne,46.5355278,6.646509599999999,2,1,1,2,1,1,0,0,0,0,"<p>Immeuble situé proche de toutes commodités.<br>Comprenant: hall d'entrée, séjour, 2 chambres à coucher, cuisine avec frigo, salle de bains/WC, balcon. Garage N°1 à CHF 140.-/mois.</p>",1640,Lausanne-Flon,28.015204209182574
17,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/gerance-robert-crot-cie-256/loft-situe-coeur-ville-lumineux-mezzanine-dote-terrasse-echappee-lac-162623
",162623,"Immobilier
","2020-02-23
",juillet 2020										</span>,-1,5,2700,200,116,Avenue de France 1,1004.0,Lausanne,46.523915,6.624372,0,0,1,4,0,1,0,0,0,0,"<p>Immeuble ancien avec cachet (hauts plafonds et parquet). Il est à deux pas des transports publics (arrêt de bus Chauderon), à proximité du LEB (200 m), d'un centre commercial (300 m), du quartier divertissant du Flon (400 m) et à envion 700 m de diverses écoles (ERACOM/ EPSIC/ ETML).<br> Comprenant: <br> <br> Cuisine ouverte avec îlot, agencée et équipée<br> Pièce à vivre<br> Mezzanine<br> Salle de bains baignoire/wc<br> Salle de douches/lavabo-wc<br> Lave-linge<br> Terrasse avec échappée sur le lac</p>",2900,Vigie,6.700124830474284
18,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-1er-etage-lausanne-164015
",164015,"Immobilier
","2020-02-23
",octobre 2020										</span>,-1,1,1700,295,71,,,-1,46.53387100000001,6.647603999999999,0,0,0,0,0,0,0,0,0,0,"<p>Joli appartement à proximité du centre-ville <br><br>Pour les visites, veuillez contacter nos bureaux</p>",1995,Lausanne-Flon,26.948158781208715
19,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/bel-appartement-3-pieces-quartier-calme-166425
",166425,"Immobilier
","2020-02-23
",avril 2020										</span>,-1,1,1600,250,66,,,-1,46.517385,6.6449380000000025,2,2,1,1,1,1,1,0,0,0,"<p>Dans un quartier verdoyant et à proximité de Mon-Repos, cet appartement de 3 pièces au 1er étage se compose comme suit : <br> <br>- Grand hall avec armoire murale<br>- Cuisine agencée avec cuisinière vitrocéram, frigo, lave-vaisselle<br>- Séjour<br>- 2 chambres à coucher dont 1 avec armoires murales<br>- WC séparé, <br>- Salle-de-bain avec baignoire<br>- Balcon<br>- Cave<br><br>Proche de toutes commodités. Un arrêt de bus se trouve à 1 minute à pied. <br><br>Immeuble avec digicode, ascenseur et buanderie commune. <br><br>Disponible dès le 1er avril 2020<br><br>Votre dossier d'inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l'éventuel garant :<br><br>- Demande d'inscription dûment remplie, datée et signée (à télécharger sur notre site internet)<br>- Copie de vos 3 dernières fiches de salaire<br>- Attestation originale de l'Office des poursuites, datant de moins de 3 mois<br>- Copie de votre pièce d'identité (si nationalité suisse) ou permis de séjour<br><br>Les dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax, ni de mail)</p>",1850,Lausanne-Flon,16.492782624851603
20,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rosset-immobilier-geneve-vaud-fribourg-siege-social-46/grand-appartement-25-pieces-167360
",167360,"Immobilier
","2020-02-23
",juillet 2020										</span>,-1,3,1600,100,63,,,-1,46.533658,6.647386,1,1,1,2,1,1,1,0,0,0,"<p>Grand appartement de 2.5 pièces d'environ 63m2 au 3ème étage, comprenant;<br><br>- Un hall avec armoires, <br>- Une cuisine agencée avec lave-vaisselle, <br>- Un grand séjour, <br>- Une grande chambre à coucher, <br>- Une salle-de-bains/WC<br>- Un balcon, <br>- Une cave,<br><br>Cet immeuble est idéalement situé à 2 pas du métro M2 et des commerces.</p>",1700,Lausanne-Flon,26.58062691418345
21,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-pieces-2eme-etage-lausanne-169497
",169497,"Immobilier
","2020-02-23
",maintenant										</span>,-1,2,1660,205,65,Avenue des Bergières 55,1004.0,Lausanne,46.530699,6.618157000000001,0,0,0,0,0,0,0,0,0,0,"<p>Proximité : A seulement 200m. des commerces, bureau de poste, transports-publics.<br><br></p>",1865,Vigie,8.84892265635745
22,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/bernard-nicod-siege-400/-178085
",178085,"Immobilier
","2020-02-23
",No info,-1,1,1950,270,-1,,,-1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,<p></p>,2220,Ecublens-EPFL,68161.41931487877
23,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-1-piece-5eme-etage-lausanne-182543
",182543,"Immobilier
","2020-02-23
",mars 2020										</span>,-1,5,1010,-1,30,Place du Tunnel 5,1005.0,Lausanne,46.525287,6.63513,0,0,0,0,0,0,0,0,0,0,<p></p>,1009,Lausanne-Flon,9.636085227545312
24,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/immobiliere-lausanne-806/bordure-golf-luxueux-attique-terrasse-183033
",183033,"Immobilier
","2020-02-23
",No info,1972,-1,8900,-1,423,Chemin de Praz-Buchilly 103,1000.0,Lausanne,46.5591575,6.6728641,9,0,3,2,2,4,2,0,0,0,"<p>Le caractère d'exception alloué à ce bien subjuguera ses futurs et privilégiés locataires ! _ <br><br>En effet, outre une situation idyllique en bordure de Golf , cette résidence haute gamme ne propose que 4 logements . <br>Les occupants jouissent d'un calme absolu et d'une agréable privacité tout en bénéficiant d'un service de conciergerie qui leur est réservé facilitant leur quotidien . <br>L'appartement dispose d' une rarissime superficie habitable de 423 m2 supplée d'une terrasse de 76 m2 comprenant un jardin d'hiver et dégageant une belle vue Ouest sur le golf . <br> Il occupe les 2 derniers étages de l'immeuble relié par un élégant escalier central . <br><br>Les volumes de l'appartement octroient de généreuses surfaces aux pièces de réception ,et attribuent une salle de bains à chacune des 5 chambres . <br>De nombreux placards et dressings sont consacrés au rangement . <br><br>Le premier étage propose : <br><br>- Une entrée avec vestiaire et toilettes visiteurs s'ouvrant sur un fastueux hall qui dessert : <br>- Un salon tv <br>- Un somptueux salon de réception avec cheminée donnant sur la terrasse <br>- Une salle à manger communicante avec le salon et un charmant jardin d'hiver <br>- Un bureau <br>- Une spacieuse cuisine principale à laquelle est annexée un seconde cuisine de travail . <br>- Un petit hall de distribution reliant chaque pièces <br><br> Il est à noter qu'une entrée de service permet d'accéder à une chambre réservée pour le personnel avec une salle de bains et communiquant avec les cuisines .<br><br>Le second étage dispose de : <br>- 2 masters avec en suite salles de bains et dressings <br>- 3 chambres avec salles de bains privatives <br> <br><br>Enfin 2 places de parc en sus à Frs 400.- les deux et 2 caves en sous sol sont adjointes à l'habitation .</p>",8899,Lausanne-Flon,70.50384285762829
25,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/votre-abonnement-parking-gratuit-pendant-annee-185560
",185560,"Immobilier
","2020-02-23
",maintenant										</span>,1893,4,2600,200,96,Rue Saint-François 2,1003.0,Lausanne,46.520724,6.633541999999999,1,2,1,1,1,0,0,0,0,0,"<p>Nous vous offrons un abonnement d'une année dans l'un des parking souterrain aux alentours de l'immeuble. <br><br>Magnifique appartement en duplex dans un immeuble classé avec ascenseur au coeur de Lausanne comprenant : <br><br>Au rez: <br>- Cuisine agencée ouverte sur séjour<br>- Séjour <br>- Hall avec armoire murale<br>- Chambre avec armoires murales<br>- Salle de douche<br>- Colonne de lavage<br><br>A l'étage:<br>- Pièce ouverte avec salle de bain attenante<br><br>En sortant de l'immeuble, vous trouverez tout ce dont vous aurez besoin, des restaurants, des commerces, une librairie, une boulangerie et bien plus encore! <br><br>Une visite s'impose !</p>",2800,Lausanne-Flon,4.843837650800979
26,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/naef-immobilier-lausanne-343/studio-meuble-situe-quartier-calme-verdoyant-187415
",187415,"Immobilier
","2020-02-23
",mars 2020										</span>,-1,2,1100,170,29,Chemin de Boissonnet 96,1010.0,Lausanne,46.54075,6.6413009999999995,1,0,1,2,1,0,1,0,0,0,"<p>hall avec armoires murales, 1 chambre, cuisine agencée avec hotte, four, frigo, salle de douche/WC, cave. Places de parc extérieures disponibles en sus.</p>",1270,Lausanne-Flon,31.81025604654462
27,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-lausanne-188056
",188056,"Immobilier
","2020-02-23
",maintenant										</span>,-1,0,2050,300,82,Chemin du Levant 157,1005.0,Lausanne,46.5160132,6.653224799999999,2,0,0,1,0,2,0,0,0,0,<p>Balcon - Tranquillité - 2 chambres à coucher - WC séparé - lave-vaisselle - balcon</p>,2350,Lausanne-Flon,24.876440970771405
28,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/-193433
",193433,"Immobilier
","2020-02-23
",No info,-1,4,1560,120,70,,,-1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,<p></p>,1680,Ecublens-EPFL,68161.41931487877
29,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/gerance-robert-crot-cie-256/logement-idealement-situe-193464
",193464,"Immobilier
","2020-02-23
",avril 2020										</span>,-1,0,850,90,23,,,-1,46.517184,6.611675999999999,0,0,1,2,0,0,1,0,0,0,"<p>Logement situé proche des transports publics à 150 m (lignes de bus N° 1 - 25), des commerces à 350 m. Egalement à proximité des bords du lac, du Métro M1 et de l'autoroute à 800 m. Facilité d'accès pour l'EPFL.<br>Comprenant : <br> <br> Cuisine avec réfrigérateur et 2 plaques de cuisson vitrocéram<br> Pièce à vivre <br> Salle de bains baignoire/wc<br> Cave</p>",940,Vigie,11.952777924276166
30,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-1-1-2-piece-1er-etage-lausanne-199635
",199635,"Immobilier
","2020-02-23
",avril 2020										</span>,-1,1,1380,125,41,Chemin de Longeraie 4,1006.0,Lausanne,46.515501,6.6374330000000015,0,0,1,0,1,0,0,0,0,0,"<p>Magnifique appartement de 1.5 pièce <br><br>Quartier sous-gare à quelques minutes de toutes les commodités <br><br>hall et pièce à vivre, cuisine, salle d'eau</p>",1505,Lausanne-Flon,10.911033097741146
31,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/votre-logement-renove-3-pieces-centre-ville-200306
",200306,"Immobilier
","2020-02-23
",mars 2020										</span>,1905,2,1650,165,62,Rue des Echelettes 6,1004.0,Lausanne,46.52460900000001,6.624569999999999,2,2,1,2,0,1,1,0,0,0,"<p>Implanté au 2ème étage d’un immeuble rénové, cet appartement de 3 pièces saura vous séduire par ses chaleureux aménagements intérieurs.<br><br>Exemple de distribution :<br>- 1 cuisine entièrement agencée habitable et fermée,<br>- 1 séjour avec cheminée et balcon, <br>- 2 chambres à coucher avec parquet,<br>- 1 salle-de-bains/WC/lavabo,<br>- une cave complète ce bien. <br>- immeuble sans ascenseur.<br><br>Conditions de location<br>- Début de location souhaitée : 16.03.2020<br>- Bail de durée déterminée au : 31.12.2025<br><br>Loyers: <br>- 06.03.2020: 1'225.-/net<br>- Dès le 01.03.2020: 1'650.-/net<br><br>Visites prévues lse mercredis 8 et 15 janvier 2020 entre 17h00 et 17h30. Merci de vous rendre directement sur place sans inscription au préalable et vous annoncer auprès de Madame Bidal au 2ème gauche. <br><br>Documents nécessaires pour déposer une inscription par courrier auprès de notre agence :<br>- formulaire d'inscription dûment rempli (disponible sur notre site internet http://www.realestate.apleona.ch/fileadmin/re-swiss/Mietangebote-Anmeldeformulare/Anmeldeformulare_interaktiv/217a_Mietinteressenten_Wohnung_Franz_LS.pdf/)<br>- attestation de l'Office des Poursuites récente (max. 3 mois)<br>- dernières fiches de salaire<br>- copie de pièce d'identité ou du permis de séjour (B ou C)<br><br>Photos et distribution non contractuelles.</p>",1815,Vigie,6.84429076015256
32,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-croset-404/appartement-3-pieces-6eme-etage-201069
",201069,"Immobilier
","2020-02-23
",maintenant										</span>,1967,6,1540,260,74,Chemin du Devin 31C,1012.0,Lausanne,46.529468,6.650188000000001,2,1,1,2,1,1,0,0,0,0,"<p>Immeuble situé dans un quartier calme à proximité des commerces, du CHUV, des écoles, d'une garderie ainsi que des transports en commun.<br>Ce logement comprend : hall d'entrée, 2 chambres, séjour, cuisine agencée, salle de bains, WC-séparés, balcon type français.<br> <br> Pour les visites, contacter le concierge M. ALVES du lundi au vendredi de 13h00 à 18h00 (appt No 34)<br></p>",1800,Lausanne-Flon,24.94402516331407
33,"https://www.immobilier.ch/fr/louer/appartement/vaud/prilly/apleona-real-estate-ag-670/ideal-les-etudiants-202765
",202765,"Immobilier
","2020-02-23
",No info,1969,3,750,70,21,,,-1,46.532971,6.601684,0,1,2,0,0,1,1,0,0,0,"<p>Joli petit appartement comprenant :<br><br>- une pièce principale<br>- un coin cuisine avec cuisinette (frigo + 2 plaques à réchaud)<br>- une salle de bain avec baignoire<br><br>Ce logement n'a pas de balcon, ni de cave.<br><br>Immeuble comprenant un ascenseur.<br><br>""BAUX DE DUREE DETERMINEE DE 5 ANS NON RENOUVELABLE. POSSIBILITE UNILATERALE POUR LE LOCATAIRE DE RESILIER PENDANT LA DUREE DU BAIL""<br><br>Votre dossier d’inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l’éventuel garant : <br><br>- Demande d’inscription dûment remplie, datée et signée (à télécharger sur notre site internet)<br>- Copie de vos 3 dernières fiches de salaire<br>- Attestation originale de l’Office des poursuites, datant de moins de 3 mois<br>- Copie de votre pièce d’identité (si nationalité suisse) ou permis de séjour<br><br>Les dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax ni de mail).</p>",820,Provence,10.868156490567635
34,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/votre-adresse-coeur-lausanne-205872
",205872,"Immobilier
","2020-02-23
",maintenant										</span>,1893,2,2900,190,89,Rue Saint-François 2,1003.0,Lausanne,46.52072800000001,6.633592,2,1,1,0,0,0,1,0,0,0,"<p>Nous vous proposons en location, au plein centre de Lausanne, un grand 3 pièces composé de: <br><br>- Séjour<br>- Cuisine agencée avec lave-vaisselle, lave-linge et sèche-linge<br>- 2 Chambres à coucher dont une avec un mur en pierres apparentes<br>- Salle de bain avec double vasque <br>- Interphone<br>- Cave, ascenseur <br><br>Plus besoin de voiture, vous pourrez prendre le bus ou le métro dont les arrêts se trouvent à quelques mètres seulement de l'immeuble. De plus, la gare CFF est atteignable via le petit-chêne en 9 minutes à pied. <br><br>Avons-nous éveillez votre intérêt ? Nous restons à votre disposition pour toutes vos questions.</p>",3090,Lausanne-Flon,4.89331697204592
