,link,Announcer,Availability,ListingSpace,LoyerNet,Charges,LoyerBrut,Street,Zip,City,Latitude,Longitude,NearestStop,TimeToNearestStop
616,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/pbbg-gerances-gestions-immobilieres-271/louer-centre-ville-lausanne-377842,www.pbbg.ch,2020-03-01,76,1600,100,1700,Rue du Petit-Chêne 17,1003,Lausanne,46.518145,6.630006599999999,Lausanne-Flon,3.2074721733065283
622,https://www.immobilier.ch/fr/louer/appartement/vaud/ecublens/privamob-463/joli-35-pieces-balcon-garage-place-parc-377960,www.privamob.ch,2020-03-01,67,1680,120,1800,Chemin de Veilloud 56,1024,Ecublens,46.5297301,6.5643774000000015,Cerisaie,2.152193076167976
646,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rilsa-288/appartement-3-pieces-1-2-1er-etage-8133m2-379716,www.rilsa.ch,2020-05-01,81,1850,-1,1849,Avenue de Sévelin 13,1004,Lausanne,46.5233149,6.613662599999999,Vigie,4.238767548564087
671,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/galland-cie-254/appartement-3-pieces-380142,www.regiegalland.ch,2020-04-01,190,1500,180,1680,Avenue de Morges 44,1004,Lausanne,46.5258537,6.6178238,Vigie,1.938529956200037
692,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/plein-coeur-lausanne-380749,www.livit.ch,2020-05-01,93,1630,340,1970,Chemin des Aubépines 12,1004,Lausanne,46.5282831,6.6189232,Vigie,5.54148594214988
700,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-duboux-279/rue-mercerie-20-1003-lausanne-380941,www.regieduboux.ch,2020-04-01,63,1600,110,1710,Rue de la Mercerie 20,1003,Lausanne,46.5215307,6.634377799999998,Lausanne-Flon,5.920090293972836
705,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/appartement-ideal-famille-381062,www.livit.ch,2020-05-01,76,1290,203,1493,Avenue de la Confrérie 14,1004,Lausanne,46.5296778,6.6077052,Provence,7.677843348576027
719,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-1er-etage-lausanne-41563,www.bernard-nicod.ch,2020-04-01,83,-1,260,259,Rue St-Roch 25,1004,Lausanne,46.524685,6.627621,Lausanne-Flon,6.475669727208321
749,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/bernard-nicod-siege-400/appartement-3-1-2-pieces-2eme-etage-renens-82676,www.bernard-nicod.ch,2020-04-01,70,1500,210,1710,Avenue de Préfaully 78,1020,Renens,46.532974,6.582822,Renens,6.379002364685026
752,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/bernard-nicod-siege-400/appartement-3-1-2-pieces-5eme-etage-renens-94795,www.bernard-nicod.ch,2020-04-01,82,1780,200,1980,Place de la Gare 12C,1020,Renens,46.5347,6.579144,Renens,2.9852032972048717
770,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/5-min-prilly-centre-joli-4-pieces-01042020-381979,www.realestate.apleona.ch,1970-01-01,75,1520,235,1755,,-1,,46.5302986,6.6077087,Provence,8.400000741865803
775,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/wincasa-siege-602/appartement-3-pieces-quartier-calme-lausanne-382309,www.wincasa.ch,2020-03-01,65,1400,240,1640,,-1,,46.5274264,6.6209954,Vigie,5.333168773049199
794,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/4883292?s=1&t=1&l=2023&ct=732&ci=600&pn=25,,1970-01-01,64,-1,-1,1760,Ch. des Ã©pinettes,1007,Lausanne,46.51718,6.62436,Lausanne-Flon,6.046674090001094
867,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5668154?s=1&t=1&l=2023&ct=732&ci=146&pn=7,www.derham.ch,1970-01-01,76,1700,160,1860,Rue Couchirard 3,1004,Lausanne,46.52552,6.61279,Vigie,4.962453697818648
877,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5705524?s=1&t=1&l=2023&ct=732&ci=228&pn=10,www.realestate.apleona.ch/fr,1970-01-01,89,2000,300,2300,Av. d'Echallens 6,1004,Lausanne,46.52524,6.62086,Vigie,3.3621649002630343
881,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5718359?s=1&t=1&l=2023&ct=732&ci=185&pn=8,www.realestate.apleona.ch/fr,1970-01-01,64,1880,165,2045,Av. de Morges 7,1004,Lausanne,46.52396,6.621060000000001,Vigie,3.4764641832867933
909,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5778291?s=1&t=1&l=2023&ct=732&ci=235&pn=10,www.realestate.apleona.ch/fr,1970-01-01,89,2022,300,2322,Av. d'Echallens 6,1004,Lausanne,46.52524,6.62086,Vigie,3.3621649002630343
935,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5802604?s=1&t=1&l=2023&ct=732&ci=191&pn=8,www.derham.ch,2020-04-01,80,1830,265,2095,Avenue de SÃ©velin 13 C,1004,Lausanne,46.5242,6.6131199999999986,Vigie,4.4415230003223884
938,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5805140?s=1&t=1&l=2023&ct=732&ci=140&pn=6,www.realestate.apleona.ch/fr,2020-03-16,62,1650,165,1815,Rue des Echelettes 6,1004,Lausanne,46.52461,6.624560000000002,Vigie,6.834488436971631
966,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5829627?s=1&t=1&l=2023&ct=732&ci=188&pn=8,www.derham.ch,2020-03-16,81,1810,270,2080,Avenue de SÃ©velin 13 C,1004,Lausanne,46.5242,6.6131199999999986,Vigie,4.4415230003223884
967,https://www.immoscout24.ch/fr/d/appartement-louer-ecublens-vd/5830806?s=1&t=1&l=1116&ct=48&ci=44&pn=2,,1970-01-01,82,-1,-1,2050,Route du Bois 13,1024,Ecublens VD,46.5307,6.56491,Cerisaie,3.629292326669538
1042,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5864946?s=1&t=1&l=2023&ct=732&ci=652&pn=28,,2020-05-01,81,-1,-1,2196,,-1,,46.52829000000001,6.61901,Vigie,5.571477723649248
1046,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5865849?s=1&t=1&l=2023&ct=732&ci=209&pn=9,www.derham.ch,1970-01-01,77,1940,255,2195,Avenue de SÃ©velin 13 B,1004,Lausanne,46.52408,6.613689999999999,Vigie,3.906424126786937
1075,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5870127?s=1&t=1&l=2023&ct=732&ci=646&pn=27,,1970-01-01,111,-1,-1,2150,,-1,,46.52829000000001,6.61901,Vigie,5.571477723649248
1086,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5872775?s=1&t=1&l=2023&ct=732&ci=230&pn=10,www.lacoterelocation.ch,1970-01-01,77,-1,-1,2300,,-1,,46.52829000000001,6.61901,Vigie,5.571477723649248
1092,https://www.immoscout24.ch/fr/d/appartement-louer-renens-vd/5874597?s=1&t=1&l=2990&ct=147&ci=90&pn=4,,1970-01-01,85,1750,225,1975,Avenue de Censuy 22,1020,Renens VD,46.53158,6.58345,UNIL-Chamberonne,7.914219911008363
1094,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5874644?s=1&t=1&l=2023&ct=732&ci=183&pn=8,www.realestate.apleona.ch/fr,2020-05-01,75,1800,235,2035,Rue St-Laurent 12,1003,Lausanne,46.52239,6.63162,Lausanne-Flon,4.257064453048414
1108,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5875768?s=1&t=1&l=2023&ct=732&ci=605&pn=26,,2020-05-01,82,-1,-1,1790,Rue du Simplon 18,1006,Lausanne,46.51593,6.6303,Lausanne-Flon,6.2913443079081
1124,https://www.immoscout24.ch/fr/d/appartement-louer-renens-vd/5879027?s=1&t=1&l=2990&ct=147&ci=94&pn=4,www.derham.ch,2020-05-01,73,1980,90,2070,chemin des CÃ´tes 66,1020,Renens VD,46.52451,6.59678,Malley,2.630051555939449
1172,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5886979?s=1&t=1&l=2023&ct=732&ci=108&pn=5,,2020-03-16,62,1460,190,1650,Chemin de Champrilly 17,1004,Lausanne,46.5309,6.60885,Provence,9.74690116362803
1205,https://www.immoscout24.ch/fr/d/appartement-louer-prilly/5890545?s=1&t=1&l=2918&ct=48&ci=20&pn=1,www.derham.ch,2020-04-01,84,2030,220,2250,Avenue du Galicien 9,1008,Prilly,46.52869000000001,6.6055600000000005,Provence,5.341890877688686
1231,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5893250?s=1&t=1&l=2023&ct=732&ci=131&pn=6,www.realestate.apleona.ch/fr,1970-01-01,75,1520,235,1755,Ch. de Champrilly 29,1004,Lausanne,46.5303,6.6077,Provence,8.396912399346473
1234,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5893521?s=1&t=1&l=2023&ct=732&ci=210&pn=9,www.derham.ch,2020-05-16,77,1940,255,2195,Avenue de SÃ©velin 13 C,1004,Lausanne,46.5242,6.6131199999999986,Vigie,4.4415230003223884
1236,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5893524?s=1&t=1&l=2023&ct=732&ci=219&pn=10,www.derham.ch,2020-05-01,81,1950,270,2220,Avenue de SÃ©velin 13 B,1004,Lausanne,46.52409,6.61368,Vigie,3.9139850599815422
1243,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5893911?s=1&t=1&l=2023&ct=732&ci=651&pn=28,,2020-05-15,78,-1,-1,2195,,-1,,46.52828,6.618989999999998,Vigie,5.552838886047933
1260,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5895810?s=1&t=1&l=2023&ct=732&ci=653&pn=28,,1970-01-01,80,-1,-1,2205,Avenue Louis-Ruchonnet 19,1003,Lausanne,46.5185,6.6254100000000005,Lausanne-Flon,4.024965062782426
1275,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5897337?s=1&t=1&l=2023&ct=732&ci=613&pn=26,,1970-01-01,69,-1,-1,1805,,-1,,46.52828,6.618989999999998,Vigie,5.552838886047933
1284,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5897733?s=1&t=1&l=2023&ct=732&ci=113&pn=5,www.livit.ch,2020-05-01,85,1430,240,1670,Rue du Valentin 21,1004,Lausanne,46.52433,6.63138,Lausanne-Flon,6.45858190414045
1295,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5898698?s=1&t=1&l=2023&ct=732&ci=190&pn=8,www.derham.ch,2020-04-01,82,1880,210,2090,Chemin des Rosiers 5,1004,Lausanne,46.52543,6.622910000000001,Vigie,5.375130315873344
1311,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5900217?s=1&t=1&l=2023&ct=732&ci=164&pn=7,www.lacoterelocation.ch,1970-01-01,78,-1,-1,1950,,-1,,46.52828,6.618989999999998,Vigie,5.552838886047933
1415,https://www.immoscout24.ch/fr/d/appartement-louer-prilly/5903971?s=1&t=1&l=2918&ct=48&ci=13&pn=1,www.derham.ch,1970-01-01,67,1460,140,1600,Avenue de la Rochelle 3,1008,Prilly,46.53172,6.60192,Provence,9.070431420135527
1454,https://www.immobilier.ch/fr/louer/appartement/vaud/ecublens/galland-cie-254/appartement-3-pieces-36934,www.regiegalland.ch,1970-01-01,65,1680,160,1840,,-1,,46.526985,6.565464,Cerisaie,2.5432581702089934
1481,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rilsa-288/appartement-3-pieces-1-2-1er-etage-8239m2-385220,www.rilsa.ch,1970-01-01,82,1680,-1,1679,,-1,,46.5285002,6.6186788,Vigie,5.7946164645503355
1508,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-385496,www.omnia.ch,1970-01-01,91,2150,-1,2149,Place de la Gare,1020,Renens,46.5302076,6.595059299999999,Malley,5.7423243658511165
1582,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-4eme-etage-lausanne-336251,www.bernard-nicod.ch,1970-01-01,80,1800,260,2060,Avenue de Morges 175,1004,Lausanne,46.5262834,6.609764599999999,Provence,6.805076763558509
1589,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/centre-lausanne-386187,www.realestate.apleona.ch,1970-01-01,80,1670,320,1990,Rue du Maupas 22,1004,Lausanne,46.5251658,6.6256435,Lausanne-Flon,7.6804659265146045
1590,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regimo-lausanne-865/charmant-appartement-plein-coeur-lausanne-386310,www.regimo.ch,1970-01-01,90,1600,180,1780,Place Chauderon 20 B,1003,Lausanne,46.5241385,6.6253983,Lausanne-Flon,6.473701802828303
1606,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/bel-appartement-centre-ville-vue-lac-386682,www.realestate.apleona.ch,1970-01-01,80,1971,270,2241,,-1,,46.5252404,6.620912599999999,Vigie,3.4115186773976087
1614,https://www.immobilier.ch/fr/louer/appartement/vaud/ecublens/livit-ag-real-estate-management-675/chambre-colocation-uniquement-etudiant-386788,www.livit.ch,1970-01-01,68,615,105,720,Chemin des Triaudes 4 B,1024,Ecublens,46.5241565,6.5661887000000005,Ecublens-EPFL,3.558462641539637
1635,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-rhone-geneve-44/centre-ville-appartement-3-pieces-1er-etage-387293,www.regierhone.ch,1970-01-01,63,1450,135,1585,,-1,,46.5233318,6.636798700000001,Lausanne-Flon,9.151722727554377
1641,https://www.immoscout24.ch/fr/d/appartement-louer-prilly/5599332?s=1&t=1&l=2918&ct=54&ci=19&pn=1,www.derham.ch,2020-04-16,70,1470,130,1600,Avenue de la Rochelle 3,1008,Prilly,46.53172,6.60192,Provence,9.070431420135527
1672,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5907668?s=1&t=1&l=2023&ct=763&ci=10&pn=1,www.realestate.apleona.ch/fr,2020-05-01,80,1670,320,1990,Rue du Maupas 22,1004,Lausanne,46.52516,6.62564,Lausanne-Flon,7.674190034444847
1679,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5907924?s=1&t=1&l=2023&ct=763&ci=211&pn=9,www.derham.ch,2020-04-01,75,1820,250,2070,Avenue de SÃ©velin 13 B,1004,Lausanne,46.52409,6.61368,Vigie,3.9139850599815422
1689,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5909205?s=1&t=1&l=2023&ct=763&ci=6&pn=1,www.realestate.apleona.ch/fr,2020-05-01,80,1971,270,2241,Av. d'Echallens 6,1004,Lausanne,46.52524,6.62086,Vigie,3.3621649002630343
1714,https://www.immoscout24.ch/fr/d/appartement-louer-renens-vd/5911058?s=1&t=1&l=2990&ct=180&ci=108&pn=5,,2020-05-01,66,1550,240,1790,Eglise-Catholique 15,1020,Renens VD,46.53976,6.583010000000002,Renens,5.515010867480577
1715,https://www.immoscout24.ch/fr/d/appartement-louer-prilly/5911107?s=1&t=1&l=2918&ct=54&ci=3&pn=1,,1970-01-01,68,1630,120,1750,Rue de la Combette 24,1008,Prilly,46.53019000000001,6.603210000000002,Provence,6.835493279347498
1725,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5911411?s=1&t=1&l=2023&ct=763&ci=138&pn=6,,2020-04-01,67,1550,135,1685,Chemin de la Vallombreuse 5,1004,Lausanne,46.53141,6.61653,Vigie,9.903635623919953
1748,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5912248?s=1&t=1&l=2023&ct=763&ci=579&pn=25,,1970-01-01,86,-1,-1,1450,,-1,,46.52828,6.618989999999998,Vigie,5.552838886047933
1786,https://www.immoscout24.ch/fr/d/chambre-individuelle-louer-lausanne/5885811?s=1&t=1&l=2023&ct=715&ci=485&pn=21,,2020-04-01,160,-1,-1,1160,Terreaux 22,1004,Lausanne,46.52313,6.62714,Lausanne-Flon,4.4410372141058305
1790,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5913614?s=1&t=1&l=2023&ct=715&ci=186&pn=8,,1970-01-01,65,1850,160,2010,Rue Mauborget 3,1003,Lausanne,46.52276,6.62949,Lausanne-Flon,3.7349914323966784
1812,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5919582?s=1&t=1&l=2023&ct=715&ci=207&pn=9,,2020-04-16,88,1870,265,2135,Av. de Collonges 5,1004,Lausanne,46.52774,6.62125,Vigie,5.839301392916168
1823,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5922698?s=1&t=1&l=2023&ct=715&ci=234&pn=10,,1970-01-01,77,-1,-1,2300,,-1,,46.52828,6.618989999999998,Vigie,5.552838886047933
1853,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-pieces-2eme-etage-lausanne-38012,www.bernard-nicod.ch,1970-01-01,81,1950,250,2200,Avenue de Beaulieu 27,1004,Lausanne,46.526219,6.625758,Vigie,8.376790081082838
