link,id,host,date,Availability,Year,Floor,LoyerNet,Charges,Space,LatLong,Description
"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/regie-chamot-cie-277/35pces-construction-recente-minergie-342506
",342506,"Immobilier
","2020-02-22
",maintenant										</span>,2017,3,1960,110,88,"46.5355668,6.5799793",<p></p>
"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/gerance-robert-crot-cie-256/studio-proche-transports-publics-381162
",381162,"Immobilier
","2020-02-22
",mars 2020										</span>,-1,2,820,80,31,"46.5403370,6.5809200","<p>Il est à proximité des transports publics (arrêt Renens-village bus à 100 m, des commerces à 400 m, de l'Ecal à 500 m et également d'un établissement scolaire secondaire à 600 m.<br>Comprenant : <br> <br> - Cuisine agencée avec réfrigérateur <br> - Pièce à vivre<br> - Salle de bains/wc <br> - Balcon <br> - Cave</p>"
"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/publiaz-gerance-courtage-renens-274/joli-appartement-25-pieces-proche-toutes-commodites-381306
",381306,"Immobilier
","2020-02-22
",mars 2020										</span>,-1,2,950,130,48,"46.5366378,6.5881085","<p>Joli appartement de 2.5 pièces d'env, 48 m2 au 2ème étage composé de la manière suivante:<br><br>- Hall<br>- Une chambre à coucher<br>- Séjour<br>- Cuisine<br>- Salle de bains/WC<br>- Balcon<br><br>Ce logement est disponible dès le 15 mars 2020 au prix de CHF 950.- + CHF 130.- de charges, soit un total de CHF 1'080.-.<br><br>En cas d'intérêt et pour visiter cet objet, merci de bien vouloir prendre contact avec le concierge M. BERNARDO.<br><br>Pour tout renseignement complémentaire, notre service location se tient à votre entière disposition par téléphone ou par courriel à l'adresse.</p>"
